folder_name,page_title,type,link,id
"""TEST/Canvas Online Learning""","""UoY Canvas Support Guides (Staff)""",doc,https://docs.google.com/document/d/1-iQOxCMQS-lB4A6BcjhjEZdKDcUY62HNFReXDiRd2AU,
"""TEST/Canvas Online Learning""","""UoY Canvas Support Guides (Students)""",doc,https://docs.google.com/document/d/1WR197PrZA3e7K_UNxP0rXDfPHfPy6xZVYC2A780VQX8,
"""TEST/Canvas Online Learning""","""Building a reassessment point in Canvas""",doc,https://docs.google.com/document/d/1rYW5RLK_twAFloEksQTGPfNDJ_gN-HLqriRDq4LW3CI,
"""TEST/Canvas Online Learning""","""Managing Blueprints in Canvas""",doc,https://docs.google.com/document/d/15lW5ivHlIjGjQpG7GHIHwJVxUg3Q6WdaMQ179jT3Xuk,
"""TEST/Canvas Online Learning""","""Canvas Help Resources During Office Close""",doc,https://docs.google.com/document/d/1j7IFYdmsAVfPUDqGIhkMvGuRwuoUY6Pco_jHetv2gqo,
"""TEST/Canvas Online Learning/Canvas (Teaching / Marking) Staff Guides""","""How to move a Panopto Recording in Canvas""",doc,https://docs.google.com/document/d/1zbculI3RNKrpdc-q88uBtGCbUyQPKwrM9v4Npd8g8vI,
"""TEST/Canvas Online Learning/Canvas (Teaching / Marking) Staff Guides""","""How to view your section in Canvas""",doc,https://docs.google.com/document/d/1wHpY6DaLOnVBrsh6ccnKM00XHVJRHkg9Wpbi8VVshbg,
"""TEST/Canvas Online Learning/Canvas (Teaching / Marking) Staff Guides""","""Announcements in Canvas""",doc,https://docs.google.com/document/d/1E_vyZl_A5sSPhTpbD18uzbiRmaQz-qTdLR6c6z9g3QQ,
"""TEST/Canvas Online Learning/Canvas (Teaching / Marking) Staff Guides""","""Filter an assignment by section (group) in Canvas""",doc,https://docs.google.com/document/d/1HIyHLtAeNkJtkZIax_a-fIfrxMh3AAAW3xdZb1tPD2k,
"""TEST/Canvas Online Learning/Canvas (Teaching / Marking) Staff Guides""","""Building an Exam using a question bank""",doc,https://docs.google.com/document/d/1mGK8zniAHbWxSKyBrbrsc0MrNKAMMzfNKdock76fSD4,
"""TEST/Canvas Online Learning/Canvas (Teaching / Marking) Staff Guides/Training Videos""","""SpeedGrader.mp4""",video/mp4,https://drive.google.com/file/d/1SebfDTdercpMrqA630kIwfEqgSW7MqpZ,
