folder_name,page_title,type,link,id
"""TEST""","""Yorkshare - Grading & Feedback - Identifying Non or Late Submissions to Standard Assignment Points""",doc,https://docs.google.com/document/d/1mdZG5_JxsWnIZ-JqnyAdsN9aKi6hi9ks6AAT_nAnogM,
"""TEST""","""Yorkshare - Set Up and Workflow - Using Standard Assignment Tool to Grade Anonymously""",doc,https://docs.google.com/document/d/1VIq-F5XErBjQXWEv8kKq0VvEEXSf5DkoSUWtIT3qNAQ,
"""TEST""","""Yorkshare - Grading & Feedback - Preventing auto-release of marks & feedback""",doc,https://docs.google.com/document/d/1EuZPQKyu4Fx5KXfadYFapzQl1fshLpuSlrWWYGWs9z0,
"""TEST""","""Yorkshare - Setting Up Submission Points - Marking Groups and Anonymous Submission - Standard Assignment Submission Point""",doc,https://docs.google.com/document/d/1XfmxanUoVAFomXwC0iBoEujx8oDs4ehvSIyEefuzAhI,
"""TEST""","""Yorkshare - Setting Up Formative Submission Points - Individual Work - Standard Assignment Submission Point""",doc,https://docs.google.com/document/d/1AQXKu7welAylqweS_pOpwSfA34rvdiVOy868rMuQZ6Q,
"""TEST""","""Yorkshare - Setting Up Formative Submission Points - Group Work - Standard Assignment Submission Point""",doc,https://docs.google.com/document/d/11aQpw6ndCtezOioOx5xkV2wEZaP_LOrEa8pwrSkwaG4,
"""TEST""","""Yorkshare - Set Up and Workflow - Using Standard Assignment Tool with Delegated Grading""",doc,https://docs.google.com/document/d/1X3ea2hdghFdyQLEHrn3PDfd6J5Gbxo4Fw65ejEofUFs,
"""TEST""","""Yorkshare - Grading & Feedback - Rubrics""",doc,https://docs.google.com/document/d/1DK5DUNlZERPlp_WftJTh8cS0Tw5SFmUvGK-FHwoaeTg,
"""TEST""","""Yorkshare - Grading & Feedback - Releasing Feedback to Students without Grades""",doc,https://docs.google.com/document/d/1Ruk1O4HVvURWScbx_Yzxs9xY-krCM_J6LcSecL6_uW4,
"""TEST""","""Yorkshare - Grading & Feedback - Creating Screencast Feedback (Workflow)""",doc,https://docs.google.com/document/d/1Esga6QmLDs6u4iB_pUdp7IJXJTvhfwG9LsbBN1H_4L0,
"""TEST""","""Yorkshare - Formative Assessment - Markers - Standard Assignment Submission Point with Marking Groups and Anonymous Submission""",doc,https://docs.google.com/document/d/1yoGo54AMSJgzPxdHaWtc0kAlA3KSEdBkVaZlq3WiYcg,
"""TEST/Bb Annotate""","""Yorkshare Guide - Students - Viewing Feedback and Grades in ""Type A"" Submission Points""",doc,https://docs.google.com/document/d/1lWekas2mX7E7hBpnpiHEg_p5LpJnnlhaB9U7tp8kZLE,
"""TEST/Bb Annotate""","""Yorkshare Guide - Staff - Annotation - Using the Bb Annotate Markup Tool (Standard Assignments) """,doc,https://docs.google.com/document/d/1zlAix-ptm-xLoR4p3EfUC5gh8eE1cah3uxmHX31Mei4,
"""TEST""","""Yorkshare - Grading & Feedback - Changing Primary Grade to Percentage.docx""",application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://drive.google.com/file/d/0BzxHfs7XbRU8TnI1cHFDbk41SFU,
"""TEST/z_Original Word-Versions of Docs for Editing / WIP""","""Old - Student Guide - Submission Point File Type Restrictions and Conversions""",doc,https://docs.google.com/document/d/1s6_KZzOVwrdGgR19_MTe7Ur1b9lHN6dVcAnoEhigvk4,
"""TEST/z_Original Word-Versions of Docs for Editing / WIP""","""RETIRED_Yorkshare - Submission Point Troubleshooting - Student Guide - Accessible Version.docx""",doc,https://docs.google.com/document/d/1NURCeqtSctMhwQQmzCYa_eB9xK8i1f5IUMDsYxUEAb8,
